"Name","Site","Yr","Quadrat","Total","Substrate","Cover","Label_ID","Full_name","SJB_cat","Structural_category","General_categories"
"CB6_2019_2.jpg","CB6","2019","2",23,"CCA",26.0869565217391,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB6_2019_3.jpg","CB6","2019","3",24,"CCA",4.16666666666667,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB6_2019_4.jpg","CB6","2019","4",22,"CCA",22.7272727272727,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB6_2019_5.jpg","CB6","2019","5",20,"CCA",15,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB7_2019_1.jpg","CB7","2019","1",20,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB7_2019_2.jpg","CB7","2019","2",21,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB7_2019_3.jpg","CB7","2019","3",22,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB7_2019_4.jpg","CB7","2019","4",21,"CCA",4.76190476190476,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB7_2019_5.jpg","CB7","2019","5",24,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB8_2019_1.jpg","CB8","2019","1",17,"CCA",5.88235294117647,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB8_2019_2.jpg","CB8","2019","2",20,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB8_2019_3.jpg","CB8","2019","3",22,"CCA",4.54545454545455,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB8_2019_4.jpg","CB8","2019","4",21,"CCA",4.76190476190476,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CB8_2019_6.jpg","CB8","2019","6",13,"CCA",15.3846153846154,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE1_2017_1.JPG","CRIOBE1","2017","1",24,"CCA",29.1666666666667,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE1_2017_2.JPG","CRIOBE1","2017","2",23,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE1_2017_3.JPG","CRIOBE1","2017","3",25,"CCA",8,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE1_2017_4.JPG","CRIOBE1","2017","4",24,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE1_2017_5.JPG","CRIOBE1","2017","5",24,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE2_2017_1.JPG","CRIOBE2","2017","1",25,"CCA",20,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE2_2017_2.JPG","CRIOBE2","2017","2",24,"CCA",4.16666666666667,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE2_2017_3.JPG","CRIOBE2","2017","3",22,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE2_2017_4.JPG","CRIOBE2","2017","4",19,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"CRIOBE2_2017_5.JPG","CRIOBE2","2017","5",23,"CCA",4.34782608695652,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute1_2018_1.JPG","FareAute1","2018","1",24,"CCA",20.8333333333333,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute1_2018_2.JPG","FareAute1","2018","2",25,"CCA",4,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute1_2018_3.JPG","FareAute1","2018","3",25,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute1_2018_4.JPG","FareAute1","2018","4",24,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute1_2018_5.JPG","FareAute1","2018","5",22,"CCA",18.1818181818182,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute2_2018_1.JPG","FareAute2","2018","1",25,"CCA",8,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute2_2018_2.JPG","FareAute2","2018","2",25,"CCA",4,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute2_2018_3.JPG","FareAute2","2018","3",25,"CCA",0,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute2_2018_4.JPG","FareAute2","2018","4",24,"CCA",16.6666666666667,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareAute2_2018_5.JPG","FareAute2","2018","5",24,"CCA",20.8333333333333,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareDhote1_2018_1.JPG","FareDhote1","2018","1",24,"CCA",41.6666666666667,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareDhote1_2018_2.JPG","FareDhote1","2018","2",23,"CCA",8.69565217391304,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
"FareDhote1_2018_3.JPG","FareDhote1","2018","3",25,"CCA",12,101,"Crustose coralline algae","Clean_substrate","2D","CCA"
